# ID,loc_ID,community_ID,tech_type,capacity,IRR_min,co-oper
0,0,2,1,200000000,0.15,0
1,0,2,1,400000000,0.15,0
2,0,2,1,600000000,0.15,0
3,0,2,2,100000000,0.15,1
4,0,2,2,400000000,0.25,0
5,0,2,2,600000000,0.25,0
6,1,1,1,100000000,0.15,1
7,1,1,1,400000000,0.15,0
8,1,1,1,600000000,0.15,0
9,1,1,2,100000000,0.15,1
10,1,1,2,400000000,0.25,0
11,1,1,2,600000000,0.25,0
12,2,3,1,100000000,0.15,1
13,2,3,1,400000000,0.15,0
14,2,3,1,600000000,0.15,0
15,2,3,2,100000000,0.15,1
16,2,3,2,400000000,0.25,0
17,2,3,2,600000000,0.25,0
18,3,1,1,100000000,0.15,1
19,3,1,1,400000000,0.15,0
20,3,1,1,600000000,0.15,0
21,3,1,2,100000000,0.15,1
22,3,1,2,400000000,0.25,0
23,3,1,2,600000000,0.25,0
24,4,2,1,100000000,0.15,1
25,4,2,1,400000000,0.15,0
26,4,2,1,600000000,0.15,0
27,4,2,2,100000000,0.15,1
28,4,2,2,400000000,0.25,0
29,4,2,2,600000000,0.25,0
30,5,2,1,100000000,0.15,1
31,5,2,1,400000000,0.15,0
32,5,2,1,600000000,0.15,0
33,5,2,2,100000000,0.15,1
34,5,2,2,400000000,0.25,0
35,5,2,2,600000000,0.25,0
36,6,1,1,100000000,0.15,1
37,6,1,1,400000000,0.15,0
38,6,1,1,600000000,0.15,0
39,6,1,2,100000000,0.15,1
40,6,1,2,400000000,0.25,0
41,6,1,2,600000000,0.25,0
42,7,3,1,100000000,0.15,1
43,7,3,1,400000000,0.15,0
44,7,3,1,600000000,0.15,0
45,7,3,2,100000000,0.15,1
46,7,3,2,400000000,0.25,0
47,7,3,2,600000000,0.25,0
48,8,3,1,100000000,0.15,1
49,8,3,1,400000000,0.15,0
50,8,3,1,600000000,0.15,0
51,8,3,2,100000000,0.15,1
52,8,3,2,400000000,0.25,0
53,8,3,2,600000000,0.25,0
54,9,0,1,100000000,0.15,1
55,9,0,1,400000000,0.15,0
56,9,0,1,600000000,0.15,0
57,9,0,2,100000000,0.15,1
58,9,0,2,400000000,0.25,0
59,9,0,2,600000000,0.25,0
